@relation arA-weka.filters.supervised.instance.Resample-B0.0-S1-Z95.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z174.0740741

@attribute total_loc numeric
@attribute unique_operators numeric
@attribute Faultiness {FALSE,TRUE}

@data
68,14,FALSE
268,23,FALSE
52,13,FALSE
45,12,FALSE
22,9,FALSE
91,14,FALSE
4,5,FALSE
103,19,FALSE
9,7,FALSE
67,13,FALSE
26,11,FALSE
69,12,FALSE
58,15,FALSE
21,6,FALSE
46,13,FALSE
7,5,FALSE
3,5,FALSE
37,15,FALSE
27,9,FALSE
31,8,FALSE
26,9,FALSE
149,17,FALSE
20,7,FALSE
51,4,FALSE
112,17,FALSE
73,12,FALSE
25,16,FALSE
31,10,FALSE
21,8,FALSE
70,7,FALSE
3,5,FALSE
31,5,FALSE
39,15,FALSE
86,13,FALSE
530,12,FALSE
7,6,FALSE
40,11,FALSE
28,12,FALSE
95,19,FALSE
35,13,FALSE
25,14,FALSE
10,4,FALSE
22,7,FALSE
115,19,FALSE
79,10,FALSE
8,12,FALSE
25,16,FALSE
2,2,FALSE
13,4,FALSE
52,13,FALSE
20,6,FALSE
112,6,FALSE
21,11,FALSE
4,4,FALSE
10,4,FALSE
33,17,FALSE
38,13,FALSE
69,12,FALSE
10,8,FALSE
91,14,FALSE
50,6,FALSE
25,16,FALSE
8,3,FALSE
136,13,FALSE
23,10,FALSE
91,14,FALSE
23,10,FALSE
42,10,FALSE
2,2,FALSE
23,10,FALSE
75,10,FALSE
11,6,FALSE
148,16,FALSE
3,6,FALSE
9,4,FALSE
25,10,FALSE
2,2,FALSE
185,15,FALSE
18,7,FALSE
103,19,FALSE
40,11,FALSE
82,11,FALSE
62,13,FALSE
8,3,FALSE
15,11,FALSE
21,8,FALSE
22,7,FALSE
3,4,FALSE
10,4,FALSE
114,23,FALSE
21,12,FALSE
2,2,FALSE
28,12,FALSE
18,15,FALSE
6,6,FALSE
23,6,FALSE
8,5,FALSE
10,3,FALSE
32,11,FALSE
117,14,FALSE
6,9,FALSE
20,4,FALSE
11,8,FALSE
146,7,FALSE
203,23,FALSE
28,12,FALSE
58,14,FALSE
42,10,FALSE
20,7,FALSE
115,19,FALSE
38,13,FALSE
6,6,FALSE
3,6,FALSE
32,11,FALSE
13,9,FALSE
28,4,FALSE
22,13,FALSE
79,10,FALSE
26,9,FALSE
29,10,FALSE
6,6,FALSE
5,5,FALSE
40,11,FALSE
9,7,FALSE
45,9,FALSE
20,7,FALSE
27,11,FALSE
58,14,FALSE
6,6,FALSE
68,5,FALSE
42,9,FALSE
47,7,FALSE
8,6,FALSE
82,11,FALSE
128,13,FALSE
10,4,FALSE
29,10,FALSE
153,14,FALSE
2,2,FALSE
8,7,FALSE
26,13,FALSE
7,5,FALSE
40,11,FALSE
8,12,FALSE
112,6,FALSE
10,7,FALSE
6,6,FALSE
42,11,FALSE
22,9,FALSE
26,9,FALSE
7,5,FALSE
33,5,FALSE
203,23,FALSE
10,3,FALSE
4,5,FALSE
14,5,FALSE
9,4,FALSE
40,11,FALSE
9,8,FALSE
33,17,FALSE
91,5,FALSE
22,7,FALSE
29,10,FALSE
8,5,FALSE
31,8,FALSE
3,5,FALSE
18,15,FALSE
33,17,FALSE
530,12,FALSE
31,5,FALSE
33,17,FALSE
36,11,FALSE
2,2,FALSE
203,23,FALSE
115,19,FALSE
28,12,FALSE
11,8,FALSE
6,6,FALSE
21,7,FALSE
40,11,FALSE
22,7,FALSE
26,9,FALSE
