@relation arA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z25.35211268-no-replacement

@attribute total_loc numeric
@attribute unique_operators numeric
@attribute Faultiness {FALSE,TRUE}

@data
55,13,FALSE
12,15,FALSE
7,4,FALSE
16,12,FALSE
14,5,FALSE
185,15,FALSE
21,5,FALSE
13,4,FALSE
27,9,FALSE
68,5,FALSE
57,4,FALSE
32,11,FALSE
2,2,FALSE
7,7,FALSE
14,5,FALSE
203,23,FALSE
34,13,FALSE
18,9,FALSE
173,31,TRUE
43,14,TRUE
60,16,TRUE
6,7,TRUE
86,11,TRUE
445,19,TRUE
27,9,TRUE
52,17,TRUE
324,21,TRUE
19,9,TRUE
181,6,TRUE
18,6,TRUE
51,17,TRUE
250,28,TRUE
89,20,TRUE
191,22,TRUE
95,19,TRUE
21,9,TRUE
